year,baseline_region,species,site_counts_total,density_60m2_mean,density_60m2_sd,density_m2_mean,density_m2_sd
2000,CENTRAL,Mesocentrotus franciscanus,29,4.833333333333334,7.467708260682568,0.08055555555555555,0.12446180434470945
2000,CENTRAL,Strongylocentrotus purpuratus,174,7.909090909090909,9.655539199311306,0.1318181818181818,0.1609256533218551
2001,CENTRAL,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2001,CENTRAL,Strongylocentrotus purpuratus,333,11.892857142857144,24.819853590928613,0.1982142857142857,0.41366422651547696
2002,CENTRAL,Mesocentrotus franciscanus,5,1.25,0.5,0.020833333333333332,0.008333333333333335
2002,CENTRAL,Strongylocentrotus purpuratus,291,14.55,32.90412708076859,0.2425,0.5484021180128097
2003,CENTRAL,Mesocentrotus franciscanus,29,2.4166666666666665,2.5030284687057627,0.040277777777777773,0.04171714114509604
2003,CENTRAL,Strongylocentrotus purpuratus,202,5.7714285714285705,9.750070027759724,0.09619047619047619,0.16250116712932877
2004,CENTRAL,Mesocentrotus franciscanus,10,3.3333333333333335,1.5275252316519468,0.05555555555555555,0.025458753860865775
2004,CENTRAL,Strongylocentrotus purpuratus,159,4.818181818181818,5.763324482528213,0.0803030303030303,0.09605540804213689
2005,CENTRAL,Mesocentrotus franciscanus,5,1.25,0.5,0.020833333333333332,0.008333333333333335
2005,CENTRAL,Strongylocentrotus purpuratus,89,4.45,6.762707337029734,0.07416666666666667,0.11271178895049558
2006,CENTRAL,Mesocentrotus franciscanus,44,2.588235294117647,3.042589841101898,0.04313725490196079,0.05070983068503162
2006,CENTRAL,Strongylocentrotus purpuratus,130,4.482758620689655,5.011562984418934,0.07471264367816091,0.08352604974031559
2007,CENTRAL,Mesocentrotus franciscanus,186,4.428571428571428,5.751533653976328,0.07380952380952381,0.09585889423293882
2007,CENTRAL,Strongylocentrotus purpuratus,675,6.887755102040818,9.828301919447684,0.11479591836734694,0.1638050319907948
2008,CENTRAL,Mesocentrotus franciscanus,103,2.641025641025641,2.045369346226527,0.04401709401709401,0.034089489103775454
2008,CENTRAL,Strongylocentrotus purpuratus,606,6.247422680412372,11.277772135040543,0.10412371134020619,0.1879628689173424
2009,CENTRAL,Mesocentrotus franciscanus,26,4.333333333333333,3.8815804341359033,0.07222222222222222,0.06469300723559838
2009,CENTRAL,Strongylocentrotus purpuratus,374,7.632653061224491,17.142410708472696,0.1272108843537415,0.2857068451412115
2010,CENTRAL,Mesocentrotus franciscanus,36,3.6,5.211099265563414,0.06,0.08685165442605691
2010,CENTRAL,Strongylocentrotus purpuratus,525,9.545454545454545,12.708728674095786,0.1590909090909091,0.21181214456826314
2011,CENTRAL,Mesocentrotus franciscanus,465,5.961538461538463,9.374519634712943,0.09935897435897437,0.15624199391188226
2011,CENTRAL,Strongylocentrotus purpuratus,2017,17.09322033898304,64.59776758971609,0.28488700564971753,1.0766294598286017
2012,CENTRAL,Mesocentrotus franciscanus,82,3.2800000000000002,3.3729314648635627,0.05466666666666667,0.056215524414392724
2012,CENTRAL,Strongylocentrotus purpuratus,310,5.344827586206897,9.100899751427955,0.08908045977011494,0.15168166252379936
2013,CENTRAL,Mesocentrotus franciscanus,57,2.375,2.1631800262777383,0.03958333333333333,0.03605300043796231
2013,CENTRAL,Strongylocentrotus purpuratus,339,4.913043478260871,6.363358183045246,0.0818840579710145,0.10605596971742076
2014,CENTRAL,Mesocentrotus franciscanus,411,5.337662337662338,5.543156970560497,0.08896103896103896,0.09238594950934159
2014,CENTRAL,Strongylocentrotus purpuratus,6921,53.23846153846158,91.14132512149256,0.8873076923076925,1.5190220853582088
2015,CENTRAL,Mesocentrotus franciscanus,3597,29.727272727272723,33.94407164734366,0.4954545454545454,0.5657345274557278
2015,CENTRAL,Strongylocentrotus purpuratus,46293,335.4565217391307,578.1146694977934,5.590942028985507,9.635244491629898
2016,CENTRAL,Mesocentrotus franciscanus,3556,32.92592592592593,41.29848127001058,0.5487654320987655,0.6883080211668431
2016,CENTRAL,Strongylocentrotus purpuratus,45888,392.2051282051281,693.0699638572291,6.536752136752138,11.55116606428715
2017,CENTRAL,Mesocentrotus franciscanus,7449,52.45774647887324,54.843119035335,0.8742957746478873,0.9140519839222501
2017,CENTRAL,Strongylocentrotus purpuratus,92451,620.4765100671142,1138.1638400552706,10.341275167785236,18.969397334254513
2018,CENTRAL,Mesocentrotus franciscanus,8550,59.790209790209794,57.084549739572815,0.9965034965034966,0.9514091623262134
2018,CENTRAL,Strongylocentrotus purpuratus,121501,778.8525641025645,1147.5777396085182,12.980876068376068,19.12629566014197
2019,CENTRAL,Mesocentrotus franciscanus,7561,60.975806451612904,50.768478747188176,1.0162634408602151,0.8461413124531363
2019,CENTRAL,Strongylocentrotus purpuratus,125364,949.7272727272729,1194.6950812930413,15.828787878787878,19.911584688217363
2020,CENTRAL,Mesocentrotus franciscanus,10599,70.65999999999998,61.428064547842936,1.1776666666666666,1.0238010757973826
2020,CENTRAL,Strongylocentrotus purpuratus,229766,1482.3612903225808,1754.8462539821567,24.706021505376345,29.247437566369275
2021,CENTRAL,Mesocentrotus franciscanus,9602,69.57971014492756,95.09325515806947,1.1596618357487922,1.5848875859678242
2021,CENTRAL,Strongylocentrotus purpuratus,132006,916.7083333333333,1035.3147413402187,15.278472222222222,17.255245689003647
2022,CENTRAL,Mesocentrotus franciscanus,6659,57.90434782608697,56.02145170473563,0.965072463768116,0.9336908617455936
2022,CENTRAL,Strongylocentrotus purpuratus,133789,1061.8174603174607,1439.6851233560408,17.696957671957673,23.994752055934015
2023,CENTRAL,Mesocentrotus franciscanus,7688,54.914285714285754,68.15972414768859,0.9152380952380953,1.1359954024614767
2023,CENTRAL,Strongylocentrotus purpuratus,131634,854.7662337662341,1043.0488417004503,14.246103896103897,17.38414736167417
